sample	demand_type	total_demand	free_count	fixed_count	total_cost	transport_cost	spot_cost	mqc_penalty	spot_quantity	mqc_shortfall	selected_capacity	selected_mqc	covered_lanes	capacity_short_lanes	lane_capacity_shortfall	selected
0	REALIZED	2294.5609342973	9	2	231170.1917399472	57399.7057638936	173770.4859760536	0.0000000000	1341.1129909226	0.0000000000	954.3570251389	397.1673027416	16	19	1341.1129909226	3|11
0	REALIZED	2294.5609342973	9	3	208286.5870273449	94698.8804269533	113587.7066003915	0.0000000000	844.2167196425	0.0000000000	1514.0360630925	602.6298756874	17	17	844.2167196425	3|7|11
0	REALIZED	2294.5609342973	9	4	189182.6316062663	101613.2934528353	87569.3381534309	0.0000000000	616.9484804240	0.0000000000	1809.4279438853	733.5581620655	20	12	616.9484804240	0|3|7|11
0	REALIZED	2294.5609342973	9	5	173761.4526840546	108008.1669740988	65753.2857099557	0.0000000000	452.3305833974	0.0000000000	2137.4466278425	858.5344523905	20	10	452.3305833974	0|3|7|9|11
0	REALIZED	2294.5609342973	9	6	159585.3886232449	122461.7073674511	37123.6812557938	0.0000000000	235.4066859719	0.0000000000	2442.4874674161	1029.0258252858	20	6	235.4066859719	0|3|4|7|9|11
0	REALIZED	2294.5609342973	9	7	147852.4784636786	116035.5512694726	31816.9271942058	0.0000000000	191.6293775188	0.0000000000	2748.3139807360	1117.4590350910	20	5	191.6293775188	0|3|4|5|7|9|11
0	REALIZED	2294.5609342973	9	8	136369.0503666326	121365.3012476162	15003.7491190165	0.0000000000	98.6497889878	0.0000000000	3159.5568482103	1247.4945486631	20	5	98.6497889878	0|3|4|5|7|8|9|11
0	REALIZED	2294.5609342973	9	9	129347.5416666577	116330.7588025881	13016.7828640696	0.0000000000	77.8145573855	0.0000000000	3504.3581895491	1374.0301908235	20	3	77.8145573855	0|3|4|5|6|7|8|9|11
0	CONDITIONAL_MEAN	2302.3516806904	9	2	209422.6024369893	57413.5435688544	152009.0588681348	0.0000000000	1347.9946555515	0.0000000000	954.3570251389	397.1673027416	16	20	1347.9946555515	3|11
0	CONDITIONAL_MEAN	2302.3516806904	9	3	185350.2620142649	96896.4362586311	88453.8257556337	0.0000000000	788.3156175979	0.0000000000	1514.0360630925	602.6298756874	17	20	788.3156175979	3|7|11
0	CONDITIONAL_MEAN	2302.3516806904	9	4	165965.1015151627	100399.8235677343	65565.2779474284	0.0000000000	573.7181146162	0.0000000000	1809.4279438853	733.5581620655	20	19	573.7181146162	0|3|7|11
0	CONDITIONAL_MEAN	2302.3516806904	9	5	146933.0688519986	112167.9132751568	34765.1555768417	0.0000000000	292.4716408076	0.0000000000	2137.4466278425	858.5344523905	20	16	292.4716408076	0|3|7|9|11
